45-6,50000,暑寒別岳,しょかんべつだけ,45-6-8,世,平,20,修正,H21/06/01,2009/06/01
55-6,50000,階上岳,はしかみだけ,55-6-19,世,平,20,要修,H21/06/01,2009/06/01
69-1,50000,深浦,ふかうら,69-1-13,世,平,20,修正,H21/06/01,2009/06/01
69-2,50000,岩館,いわだて,69-2-12,世,平,20,修正,H21/06/01,2009/06/01
100-4,50000,奈良,なら,100-4-19,世,平,21,修正,H21/06/01,2009/06/01
101-1,50000,桜井,さくらい,101-1-20,世,平,21,修正,H21/06/01,2009/06/01
101-2,50000,吉野山,よしのやま,101-2-19,世,平,21,修正,H21/06/01,2009/06/01
101-5,50000,大阪東南部,おおさかとうなんぶ,101-5-23,世,平,21,修正,H21/06/01,2009/06/01
35-1,50000,ウコタキヌプリ,うこたきぬぷり,35-1-10,世,平,20,修正,H21/05/01,2009/05/01
49-6,50000,茅沼,かやぬま,49-6-11,世,平,20,修正,H21/05/01,2009/05/01
97-5,50000,松阪,まつさか,97-5-22,世,平,21,修正,H21/05/01,2009/05/01
109-8,50000,高梁,たかはし,109-8-19,世,平,20,要修,H21/05/01,2009/05/01
110-7,50000,仁尾,にお,110-7-16,世,平,20,修正,H21/05/01,2009/05/01
161-6,50000,金武,きん,161-6-6,世,平,20,修正,H21/05/01,2009/05/01
60-13,50000,川原平,かわらたい,60-13-13,世,平,20,要修,H21/05/01,2009/05/01
60-14,50000,中浜,なかはま,60-14-13,世,平,20,修正,H21/05/01,2009/05/01
76-15,50000,上野原,うえのはら,76-15-21,世,平,20,修正,H21/05/01,2009/05/01
90-11,50000,付知,つけち,90-11-21,世,平,20,修正,H21/05/01,2009/05/01
96-11,50000,亀山,かめやま,96-11-17,世,平,21,要修,H21/05/01,2009/05/01
107-11,50000,西郷,さいごう,107-11-16,世,平,20,修正,H21/05/01,2009/05/01
121-10,50000,久住,くじゅう,121-10-15,世,平,20,修正,H21/05/01,2009/05/01
121-14,50000,宮原,みやのはる,121-14-15,世,平,20,修正,H21/05/01,2009/05/01
161-11,50000,沖縄市南部,おきなわしなんぶ,161-11-9,世,平,20,修正,H21/05/01,2009/05/01
60-8,50000,大葛,おおくぞ,60-8-11,世,平,20,修正,H21/04/01,2009/04/01
61-2,50000,雫石,しずくいし,61-2-15,世,平,20,修正,H21/04/01,2009/04/01
61-6,50000,田沢湖,たざわこ,61-6-15,世,平,20,修正,H21/04/01,2009/04/01
61-9,50000,阿仁合,あにあい,61-9-13,世,平,20,修正,H21/04/01,2009/04/01
70-1,50000,船川,ふなかわ,70-1-16,世,平,20,修正,H21/04/01,2009/04/01
74-9,50000,小林,こばやし,74-9-15,世,平,20,修正,H21/04/01,2009/04/01
